metric,value
duration,3373.326636083002
completed,4000
request_throughput,1.1857731051638305
input_throughput,601.833803546929
output_throughput,602.0851874452236
total_throughput,1203.9189909921524
mean_e2e_latency_ms,26823.96534728825
median_e2e_latency_ms,26598.32059150176
p99_e2e_latency_ms,53458.04308769994
mean_ttft_ms,26747.80998563402
median_ttft_ms,26587.01122450111
p99_ttft_ms,53458.08234124905
mean_tpot_ms,0.4082022534334818
median_tpot_ms,-7.96238080824682e-05
p99_tpot_ms,-1.0459544191109916e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.80713668266097
total_input_tokens,2030182
total_output_tokens,2031030
total_input_tokens_retokenized,
total_output_tokens_retokenized,440362
