metric,value
duration,624.3182120620004
completed,1000
request_throughput,
input_throughput,
output_throughput,815.7618825789154
total_throughput,
mean_e2e_latency_ms,310561.598816446
median_e2e_latency_ms,307592.3417945005
p99_e2e_latency_ms,
mean_ttft_ms,
median_ttft_ms,307592.4732445005
p99_ttft_ms,
mean_tpot_ms,
median_tpot_ms,
p99_tpot_ms,
mean_itl_ms,
median_itl_ms,0.0
p95_itl_ms,
p99_itl_ms,
concurrency,
total_input_tokens,512842
total_output_tokens,509295
total_input_tokens_retokenized,
total_output_tokens_retokenized,396801
