metric,value
duration,298.67517772300016
completed,1499
request_throughput,
input_throughput,
output_throughput,985.6393231078008
total_throughput,
mean_e2e_latency_ms,112240.03550254434
median_e2e_latency_ms,111628.09581000147
p99_e2e_latency_ms,
mean_ttft_ms,
median_ttft_ms,111628.16935000046
p99_ttft_ms,
mean_tpot_ms,
median_tpot_ms,
p99_tpot_ms,
mean_itl_ms,
median_itl_ms,0.0
p95_itl_ms,
p99_itl_ms,
concurrency,
total_input_tokens,358121
total_output_tokens,294386
total_input_tokens_retokenized,
total_output_tokens_retokenized,258066
