metric,value
duration,1179.82037872
completed,1020
request_throughput,0.8645383809242294
input_throughput,1963.8455495350252
output_throughput,221.32182551660273
total_throughput,
mean_e2e_latency_ms,36805.54952392055
median_e2e_latency_ms,36647.9075139996
p99_e2e_latency_ms,40845.881685399945
mean_ttft_ms,36409.61209243913
median_ttft_ms,36620.49391999972
p99_ttft_ms,40844.83162024091
mean_tpot_ms,1.552695809731086
median_tpot_ms,-6.001569358084131e-05
p99_tpot_ms,107.93037987936574
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.819810194436812
total_input_tokens,2316985
total_output_tokens,261120
total_input_tokens_retokenized,
total_output_tokens_retokenized,4904
