metric,value
duration,1107.740751551999
completed,502
request_throughput,0.45317462528725555
input_throughput,31.73486210627128
output_throughput,464.0508162941497
total_throughput,
mean_e2e_latency_ms,69200.71108952984
median_e2e_latency_ms,69152.42274400043
p99_e2e_latency_ms,72761.93696127764
mean_ttft_ms,69200.75152052981
median_ttft_ms,69152.44747450015
p99_ttft_ms,72761.98340129938
mean_tpot_ms,-3.952199411975355e-05
median_tpot_ms,-3.6549364824989634e-05
p99_tpot_ms,-1.6086774788644868e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.36000631760931
total_input_tokens,35154
total_output_tokens,514048
total_input_tokens_retokenized,
total_output_tokens_retokenized,152749
