metric,value
duration,28.268422426001052
completed,10
request_throughput,0.35375161193297033
input_throughput,215.47010682837222
output_throughput,149.28318023571347
total_throughput,364.7532870640857
mean_e2e_latency_ms,13381.357909300277
median_e2e_latency_ms,11127.534074500545
p99_e2e_latency_ms,27637.002771690026
mean_ttft_ms,13381.391208000241
median_ttft_ms,11127.566789999946
p99_ttft_ms,27637.04029174074
mean_tpot_ms,-0.00011432775989893317
median_tpot_ms,-8.932219083891217e-05
p99_tpot_ms,-3.959118687001283e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,4.733676930266975
total_input_tokens,6091
total_output_tokens,4220
total_input_tokens_retokenized,
total_output_tokens_retokenized,687
