metric,value
duration,28.043743195999923
completed,10
request_throughput,0.35658577851427375
input_throughput,217.19639769304413
output_throughput,150.47919853302352
total_throughput,367.6755962260677
mean_e2e_latency_ms,13209.009444000003
median_e2e_latency_ms,10968.94437050014
p99_e2e_latency_ms,27407.481581039974
mean_ttft_ms,13209.07912620005
median_ttft_ms,10969.008981000115
p99_ttft_ms,27407.545325309784
mean_tpot_ms,-0.0002664127247343856
median_tpot_ms,-0.0001515062146309713
p99_tpot_ms,-4.143597551452867e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,4.710144915991135
total_input_tokens,6091
total_output_tokens,4220
total_input_tokens_retokenized,
total_output_tokens_retokenized,2986
