metric,value
duration,14.8272587499996
completed,10
request_throughput,0.6744334990444724
input_throughput,137.85420720469014
output_throughput,195.04616792366141
total_throughput,332.9003751283515
mean_e2e_latency_ms,8363.554184599707
median_e2e_latency_ms,9215.224297499844
p99_e2e_latency_ms,14530.968065879917
mean_ttft_ms,8363.656771699607
median_ttft_ms,9215.269721999903
p99_ttft_ms,14531.000012539043
mean_tpot_ms,-0.0007195786369326114
median_tpot_ms,-0.0003633282071725402
p99_tpot_ms,-5.7184591096750255e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,5.640661113167619
total_input_tokens,2044
total_output_tokens,2892
total_input_tokens_retokenized,
total_output_tokens_retokenized,2393
