metric,value
duration,810.904152293002
completed,1024
request_throughput,1.2627879597168479
input_throughput,2869.8940477975448
output_throughput,323.27371768751306
total_throughput,3193.1677654850578
mean_e2e_latency_ms,25316.608934125987
median_e2e_latency_ms,25077.616034499442
p99_e2e_latency_ms,29910.24190821161
mean_ttft_ms,24874.70581464165
median_ttft_ms,24854.798564500015
p99_ttft_ms,29910.24600167202
mean_tpot_ms,1.7329534097424983
median_tpot_ms,-2.1101960537991685e-05
p99_tpot_ms,96.11355439164959
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.969508942874278
total_input_tokens,2327209
total_output_tokens,262144
total_input_tokens_retokenized,
total_output_tokens_retokenized,5181
