metric,value
duration,1360.5763539979998
completed,3997
request_throughput,2.937725610367234
input_throughput,960.8325149548511
output_throughput,592.9781137451592
total_throughput,1553.8106287000103
mean_e2e_latency_ms,10772.678686199393
median_e2e_latency_ms,6373.387165000167
p99_e2e_latency_ms,48235.21585747991
mean_ttft_ms,10772.368016821367
median_ttft_ms,6373.39658899873
p99_ttft_ms,48235.27984440049
mean_tpot_ms,0.019122544601039626
median_tpot_ms,-0.000629209587245923
p99_tpot_ms,-4.754600725361373e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.647174068705205
total_input_tokens,1307286
total_output_tokens,806792
total_input_tokens_retokenized,
total_output_tokens_retokenized,709950
